case,label,model,sza_deg,o3col_du,source_file,UVB_280_315,UVBstar_280_320,UVA_315_400,DNA_damage,UV_index,P_Dam_C_1971,P_Dam_FC_2003,P_Dam_FC_2003_ext390
pal0p1,0.1% PAL,vulcan,45.0,34.6896,Earth_0.1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,3.652,5.0,41.3,0.121,48.77,2.051,2.602,2.891
pal0p1,0.1% PAL,vulcan,48.2,34.6896,Earth_0.1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,3.287,4.522,38.12,0.103,42.95,1.796,2.299,2.566
pal0p1,0.1% PAL,vulcan,50.0,34.6896,Earth_0.1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,3.081,4.253,36.28,0.09351,39.76,1.657,2.132,2.387
pal0p1,0.1% PAL,vulcan,55.0,34.6896,Earth_0.1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,2.518,3.508,31.05,0.06901,31.21,1.288,1.686,1.905
pal0p1,0.1% PAL,vulcan,60.0,34.6896,Earth_0.1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,1.979,2.79,25.71,0.04836,23.43,0.9569,1.28,1.462
pal0p1,0.1% PAL,vulcan,65.0,34.6896,Earth_0.1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,1.485,2.12,20.4,0.03206,16.7,0.675,0.9272,1.072
pal0p1,0.1% PAL,vulcan,70.0,34.6896,Earth_0.1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,1.051,1.522,15.29,0.02011,11.2,0.4486,0.6354,0.7437
pal0p1,0.1% PAL,vulcan,75.0,34.6896,Earth_0.1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,0.6885,1.012,10.58,0.01205,7.01,0.2788,0.4078,0.4826
pal0p1,0.1% PAL,vulcan,80.0,34.6896,Earth_0.1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,0.4035,0.6003,6.478,0.006983,4.032,0.1599,0.2397,0.2855
pal0p1,0.1% PAL,vulcan,85.0,34.6896,Earth_0.1pc_o2_1e12s_48.2SZA_WPT_1rtol.vul,0.1939,0.288,3.133,0.003751,2.02,0.08054,0.1198,0.1419
